time,batVoltage,batCurrent,solarVoltage,solarCurrent,loadVoltage,loadCurrent
14:37:51.155,3887.50,-1.25,1.25,-1.25,3261.25,0.00
14:37:51.389,3888.75,0.00,0.00,0.00,3263.75,0.00
14:37:51.643,3887.50,0.00,1.25,0.00,3261.25,-1.25
14:37:51.898,3887.50,0.00,1.25,0.00,3261.25,0.00
14:37:52.208,3866.25,-1.25,1.25,0.00,3238.75,0.00
14:37:52.408,3886.25,0.00,1.25,-1.25,3261.25,-1.25
14:37:52.662,3887.50,-1.25,0.00,0.00,3261.25,0.00
14:37:52.917,3887.50,-1.25,0.00,-1.25,3261.25,-1.25
14:37:53.211,3887.50,0.00,0.00,-1.25,3260.00,0.00
14:37:53.441,3887.50,-1.25,1.25,1.25,3262.50,0.00
14:37:53.682,3888.75,-1.25,0.00,0.00,3261.25,1.25
14:37:53.936,3888.75,0.00,0.00,0.00,3262.50,-1.25
14:37:54.203,3888.75,-1.25,1.25,0.00,3262.50,0.00
14:37:54.446,3865.00,-1.25,0.00,1.25,3238.75,0.00
14:37:54.701,3865.00,-1.25,1.25,0.00,3236.25,0.00
14:37:54.955,3886.25,-2.50,2.50,0.00,3260.00,0.00
14:37:55.211,3887.50,0.00,1.25,-1.25,3262.50,0.00
14:37:55.465,3888.75,-1.25,1.25,1.25,3261.25,0.00
14:37:55.720,3886.25,-1.25,1.25,0.00,3261.25,0.00
14:37:55.975,3887.50,0.00,0.00,0.00,3261.25,0.00
14:37:56.229,3887.50,0.00,1.25,0.00,3260.00,0.00
14:37:56.484,3887.50,0.00,1.25,-1.25,3262.50,0.00
14:37:56.739,3887.50,-1.25,0.00,1.25,3262.50,-1.25
14:37:56.994,3866.25,1.25,1.25,0.00,3237.50,0.00
14:37:57.249,3886.25,0.00,1.25,0.00,3261.25,0.00
14:37:57.503,3887.50,-1.25,0.00,0.00,3261.25,-1.25
14:37:57.758,3886.25,-1.25,0.00,0.00,3262.50,0.00
14:37:58.013,3888.75,0.00,0.00,1.25,3262.50,1.25
14:37:58.268,3887.50,-1.25,1.25,0.00,3262.50,0.00
14:37:58.523,3887.50,1.25,1.25,-2.50,3262.50,0.00
14:37:58.777,3886.25,0.00,1.25,-1.25,3261.25,0.00
14:37:59.047,3887.50,0.00,1.25,1.25,3262.50,-1.25
14:37:59.287,3866.25,1.25,1.25,-1.25,3236.25,0.00
14:37:59.542,3863.75,0.00,0.00,0.00,3238.75,0.00
14:37:59.796,3886.25,-1.25,0.00,-1.25,3262.50,0.00
14:38:00.051,3885.00,-1.25,1.25,0.00,3260.00,0.00
14:38:00.306,3887.50,0.00,0.00,0.00,3262.50,0.00
14:38:00.561,3886.25,0.00,1.25,0.00,3262.50,-1.25
14:38:00.815,3887.50,0.00,1.25,0.00,3262.50,0.00
14:38:01.070,3887.50,-1.25,1.25,-1.25,3260.00,0.00
14:38:01.325,3887.50,0.00,1.25,-1.25,3260.00,0.00
14:38:01.580,3886.25,-1.25,1.25,0.00,3261.25,0.00
14:38:01.848,3865.00,1.25,1.25,-1.25,3237.50,0.00
14:38:02.212,3883.75,0.00,1.25,0.00,3263.75,-1.25
14:38:02.344,3885.00,0.00,0.00,-1.25,3260.00,-1.25
14:38:02.599,3888.75,-1.25,1.25,0.00,3261.25,0.00
14:38:02.854,3885.00,-1.25,0.00,-1.25,3262.50,0.00
14:38:03.213,3886.25,-1.25,1.25,0.00,3261.25,0.00
14:38:03.364,3886.25,0.00,1.25,-1.25,3261.25,0.00
14:38:03.618,3887.50,0.00,1.25,0.00,3262.50,0.00
14:38:03.873,3885.00,1.25,1.25,0.00,3261.25,1.25
14:38:04.207,3863.75,-1.25,0.00,-1.25,3238.75,1.25
14:38:04.383,3863.75,0.00,0.00,0.00,3238.75,-1.25
14:38:04.639,3886.25,0.00,0.00,1.25,3263.75,0.00
14:38:04.892,3885.00,1.25,1.25,0.00,3261.25,0.00
14:38:05.207,3886.25,-1.25,1.25,1.25,3262.50,0.00
14:38:05.402,3886.25,0.00,2.50,0.00,3261.25,0.00
14:38:05.656,3885.00,0.00,1.25,0.00,3261.25,0.00
