11:00:08.825 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
11:52:51.466 -> 0.0000000,0.0000000,-17.000,170.44,0.02,0.02,0.01,-0.2,-0.1,0.0,-7.3,6.6,-114.7,0.07837,0.10126,-0.64653,0.75207,24.26,992.9,38.92,224,6,39.0,111,1,1,1,1,0,1,1,0,17412,-51.0,13.0
11:53:02.966 -> 0.0000000,0.0000000,-17.000,177.52,0.00,0.01,0.00,0.0,0.0,0.0,1.2,16.1,-39.4,0.00012,0.01770,-0.01727,0.99969,27.17,992.1,29.76,150,4,52.5,111,1,1,1,1,0,1,1,0,32847,-70.0,9.8
11:53:34.957 -> 0.0000000,0.0000000,-17.000,177.80,0.00,-0.03,0.00,0.0,0.0,0.0,0.8,15.4,-40.3,0.00000,0.01764,-0.01776,0.99969,27.16,992.1,29.78,151,4,52.5,111,1,1,1,1,0,1,1,0,37008,-70.0,11.5
11:53:56.465 -> 0.0000000,0.0000000,-17.000,170.61,0.00,-0.01,0.00,0.0,0.0,0.0,-6.9,6.9,-113.9,0.07837,0.10169,-0.64922,0.74969,24.24,992.9,38.98,225,6,38.5,111,1,1,1,1,0,1,1,0,47598,-52.0,13.3
11:54:06.961 -> 0.0000000,0.0000000,-17.000,177.92,0.00,0.00,0.01,-0.1,0.1,0.1,0.4,15.9,-39.2,0.00012,0.01770,-0.01880,0.99969,27.12,992.1,29.80,152,4,52.5,111,1,1,1,1,0,1,1,0,18295,-70.0,10.5
11:54:38.955 -> 0.0000000,0.0000000,-17.000,178.04,0.00,-0.04,0.01,0.0,0.0,0.0,1.1,16.4,-39.4,0.00006,0.01770,-0.00616,0.99982,27.14,992.0,29.78,153,4,52.0,111,1,1,1,1,0,1,1,0,26015,-70.0,10.8
11:54:58.470 -> 0.0000000,0.0000000,-17.000,170.61,0.00,-0.01,0.00,0.0,0.0,0.0,-6.9,5.4,-112.7,0.07764,0.10187,-0.64489,0.75347,24.26,992.9,38.93,226,6,37.5,111,1,1,1,1,0,1,1,0,41117,-51.0,13.3
11:55:10.959 -> 0.0000000,0.0000000,-17.000,177.95,0.00,0.01,0.01,0.0,0.0,0.0,1.7,16.0,-38.9,-0.00031,0.01776,-0.01166,0.99976,27.14,992.1,29.83,154,4,52.0,111,1,1,1,1,0,1,1,0,12683,-70.0,11.0
11:55:43.960 -> 0.0000000,0.0000000,-17.000,178.16,0.00,0.02,0.01,0.0,0.0,0.0,-1.2,16.8,-40.3,-0.00031,0.01776,-0.01105,0.99976,27.14,992.0,29.78,155,4,51.5,111,1,1,1,1,0,1,1,0,17863,-70.0,11.5
11:56:00.468 -> 0.0000000,0.0000000,-17.000,170.78,0.00,-0.01,-0.03,0.1,0.0,-0.1,-7.3,7.7,-115.5,0.07831,0.10102,-0.65007,0.74902,24.26,992.9,38.78,227,6,37.0,111,1,1,1,1,0,1,1,0,63485,-52.0,13.3
