16:38:07.440 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
17:20:29.043 -> 0.0000000,0.0000000,-17.000,245.06,0.00,-0.02,0.00,0.2,-0.1,0.1,-512.0,92.8,512.0,0.01068,0.01801,-0.97827,0.20637,47.64,984.2,12.27,26,7,63.5,111,1,1,1,1,0,1,1,0,57597,-58.0,12.5
17:20:59.810 -> 0.0000000,0.0000000,-17.000,244.95,0.02,0.02,0.00,0.0,0.0,0.0,-512.0,93.9,512.0,0.01080,0.01831,-0.97864,0.20454,47.41,984.2,12.38,27,7,63.5,111,1,1,1,1,0,1,1,0,48579,-60.0,9.5
17:21:27.959 -> 0.0000000,0.0000000,-17.000,238.84,0.01,0.00,0.00,0.2,0.0,-0.1,77.1,240.7,-512.0,0.01709,0.02124,0.98492,0.17084,27.96,984.9,40.42,132,2,38.5,111,1,1,1,1,0,1,1,0,62046,-76.0,9.8
17:21:31.005 -> 0.0000000,0.0000000,-17.000,244.20,-0.02,-0.02,0.03,0.0,0.0,0.0,-512.0,94.3,512.0,0.01123,0.01788,-0.97858,0.20478,47.05,984.3,12.59,28,7,63.5,111,1,1,1,1,0,1,1,0,37041,-59.0,12.8
17:22:05.832 -> 0.0000000,0.0000000,-17.000,244.59,-0.02,-0.02,-0.02,-0.1,0.0,-0.1,-512.0,93.9,512.0,0.01123,0.01788,-0.97858,0.20478,47.58,984.2,12.32,29,7,63.5,111,1,1,1,1,0,1,1,0,47440,-59.0,12.5
17:22:29.031 -> 0.0000000,0.0000000,-17.000,239.09,-0.03,0.00,0.00,0.0,0.0,0.0,78.2,241.4,-512.0,0.01727,0.02087,0.98309,0.18104,27.89,984.9,40.52,133,2,38.5,111,1,1,1,1,0,1,1,0,73,-69.0,13.3
17:22:36.992 -> 0.0000000,0.0000000,-17.000,244.60,0.00,0.03,0.00,0.0,0.0,0.0,-512.0,92.4,512.0,0.01074,0.01831,-0.97815,0.20679,46.90,984.2,12.64,30,7,64.0,111,1,1,1,1,0,1,1,0,13855,-58.0,12.5
17:23:07.818 -> 0.0000000,0.0000000,-17.000,244.70,-0.02,-0.02,0.03,0.3,0.1,0.1,-512.0,93.2,512.0,0.01123,0.01807,-0.97833,0.20588,47.40,984.2,12.45,31,7,64.0,111,1,1,1,1,0,1,1,0,31009,-59.0,10.5
17:23:29.951 -> 0.0000000,0.0000000,-17.000,238.52,0.01,0.00,0.00,-0.1,-0.1,0.0,76.4,241.1,-512.0,0.01715,0.02100,0.98376,0.17750,27.95,984.9,40.56,134,2,38.0,111,1,1,1,1,0,1,1,0,18594,-76.0,9.5
17:23:39.019 -> 0.0000000,0.0000000,-17.000,244.21,0.02,0.02,0.00,0.0,0.0,0.0,-512.0,92.8,512.0,0.01105,0.01801,-0.97821,0.20643,47.45,984.3,12.27,32,7,64.0,111,1,1,1,1,0,1,1,0,57240,-58.0,12.8
17:24:09.812 -> 0.0000000,0.0000000,-17.000,244.29,-0.01,0.03,-0.01,-0.2,0.1,0.0,-512.0,93.1,512.0,0.01141,0.01807,-0.97845,0.20533,47.46,984.3,12.34,33,7,64.0,111,1,1,1,1,0,1,1,0,4975,-58.0,12.8
17:24:31.965 -> 0.0000000,0.0000000,-17.000,238.79,0.00,0.00,0.00,0.0,0.0,0.0,76.8,240.6,-512.0,0.01770,0.02100,0.98340,0.17945,27.90,984.9,40.63,135,2,37.0,111,1,1,1,1,0,1,1,0,22388,-75.0,12.5
17:24:41.021 -> 0.0000000,0.0000000,-17.000,244.28,-0.01,0.02,-0.01,0.2,0.1,0.1,-512.0,92.8,512.0,0.01160,0.01794,-0.97803,0.20728,47.43,984.3,12.37,34,7,64.0,111,1,1,1,1,0,1,1,0,57918,-58.0,12.8
17:25:13.022 -> 0.0000000,0.0000000,-17.000,244.11,0.02,0.02,-0.02,0.0,0.0,0.0,-512.0,92.5,512.0,0.01135,0.01825,-0.97784,0.20832,47.37,984.3,12.42,35,7,64.0,111,1,1,1,1,0,1,1,0,45236,-58.0,12.8
17:25:33.029 -> 0.0000000,0.0000000,-17.000,238.23,0.01,0.00,0.00,0.0,0.0,0.0,76.8,241.1,-512.0,0.01721,0.02118,0.98456,0.17298,28.02,985.0,40.65,136,2,37.0,111,1,1,1,1,0,1,1,0,50315,-73.0,12.8
17:25:43.836 -> 0.0000000,0.0000000,-17.000,244.08,0.04,0.02,-0.01,0.1,0.0,0.1,-512.0,92.4,512.0,0.01147,0.01825,-0.97784,0.20838,47.47,984.3,12.37,36,7,64.5,111,1,1,1,1,0,1,1,0,34990,-58.0,12.3
17:26:15.018 -> 0.0000000,0.0000000,-17.000,243.66,-0.01,-0.02,0.02,0.0,-0.1,0.0,-512.0,92.2,512.0,0.01135,0.01794,-0.97815,0.20692,47.81,984.3,12.13,37,7,64.5,111,1,1,1,1,0,1,1,0,7229,-57.0,12.5
17:26:37.013 -> 0.0000000,0.0000000,-17.000,238.05,0.01,0.00,0.00,0.0,0.0,0.1,76.8,239.9,-512.0,0.01752,0.02100,0.98273,0.18293,27.88,985.0,40.64,137,2,36.0,111,1,1,1,1,0,1,1,0,49530,-68.0,13.0
17:26:45.794 -> 0.0000000,0.0000000,-17.000,243.82,-0.02,-0.02,0.03,0.0,0.1,0.0,-512.0,93.9,512.0,0.01123,0.01782,-0.97839,0.20569,46.97,984.3,12.63,38,7,64.5,111,1,1,1,1,0,1,1,0,31209,-57.0,13.5
17:27:17.002 -> 0.0000000,0.0000000,-17.000,243.90,-0.01,-0.02,0.00,0.0,0.0,0.0,-512.0,92.5,512.0,0.01141,0.01819,-0.97839,0.20576,47.42,984.3,12.27,39,7,64.5,111,1,1,1,1,0,1,1,0,27771,-58.0,12.8
17:27:37.947 -> 0.0000000,0.0000000,-17.000,237.85,0.02,0.00,0.00,0.0,0.0,0.0,76.8,240.3,-512.0,0.01746,0.02094,0.98218,0.18604,27.97,985.0,40.66,138,2,36.0,111,1,1,1,1,0,1,1,0,19464,-75.0,12.8
