15:55:20.823 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
16:16:51.986 -> 0.0000000,0.0000000,-17.000,246.26,0.02,0.00,0.00,0.0,0.0,0.0,22.3,210.0,-391.3,0.02722,-0.00659,0.72863,0.68432,27.63,984.0,41.12,38,2,55.0,111,1,1,1,1,0,1,1,0,12640,-64.0,11.5
16:17:04.981 -> 0.0000000,0.0000000,-17.000,253.93,0.00,0.00,0.00,0.0,0.0,0.0,2.1,20.1,24.9,0.00000,0.00000,0.00000,1.00000,35.78,983.1,22.69,0,7,61.5,103,1,1,1,0,0,1,1,0,59488,-50.0,13.0
16:17:24.012 -> 0.0000000,0.0000000,-17.000,246.13,0.00,0.00,0.00,0.1,0.0,-0.1,22.7,210.4,-390.9,0.02771,-0.00726,0.72857,0.68438,27.66,984.0,41.14,39,2,55.0,111,1,1,1,1,0,1,1,0,1144,-64.0,12.5
16:17:35.004 -> 0.0000000,0.0000000,-17.000,253.38,0.00,0.00,0.01,0.0,0.0,0.0,2.1,20.1,24.9,0.00964,-0.01520,0.03284,0.99933,35.98,983.2,22.36,0,7,61.5,111,1,1,1,1,0,1,1,0,37498,-50.0,12.5
16:17:49.817 -> 0.0000000,0.0000000,-17.000,253.22,-0.04,0.00,-0.04,0.0,0.0,0.0,2.1,20.1,24.9,0.00000,0.00000,0.00000,1.00000,36.37,983.2,22.08,0,7,62.0,103,1,1,1,0,0,1,1,0,29915,-50.0,12.8
16:17:54.992 -> 0.0000000,0.0000000,-17.000,246.10,0.03,0.00,0.00,0.0,0.0,0.0,21.6,210.8,-390.5,0.02741,-0.00653,0.73022,0.68261,27.67,984.0,41.14,40,2,54.5,111,1,1,1,1,0,1,1,0,46297,-64.0,12.8
16:18:13.004 -> 0.0000000,0.0000000,-17.000,253.11,0.00,0.00,0.00,2.6,-4.6,-3.7,31.6,34.9,-37.4,0.01483,-0.17707,-0.35951,0.91607,35.90,983.2,22.89,0,7,59.5,110,0,1,1,1,0,1,1,0,21778,-44.0,10.0
16:18:25.992 -> 0.0000000,0.0000000,-17.000,246.27,0.00,0.00,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02777,-0.01379,0.59886,0.80023,28.50,984.0,41.27,41,2,54.5,111,1,1,1,1,0,1,1,0,41556,-50.0,13.3
16:18:57.998 -> 0.0000000,0.0000000,-17.000,246.06,0.01,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.01367,-0.03058,-0.00006,0.99945,30.65,984.0,40.65,42,2,54.5,111,1,1,1,1,0,1,1,0,31710,-51.0,13.0
16:19:29.985 -> 0.0000000,0.0000000,-17.000,246.14,0.01,0.03,0.00,-0.1,0.0,-0.1,0.0,0.0,0.0,0.01251,-0.03253,0.00006,0.99939,32.25,984.0,39.48,43,2,54.5,111,1,1,1,1,0,1,1,0,43523,-51.0,13.0
16:20:04.995 -> 0.0000000,0.0000000,-17.000,245.84,0.00,0.00,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01251,-0.03253,0.00006,0.99939,33.53,984.1,37.91,44,2,54.5,111,1,1,1,1,0,1,1,0,48085,-51.0,12.5
16:20:36.998 -> 0.0000000,0.0000000,-17.000,246.01,0.01,0.04,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.01172,-0.03461,0.00000,0.99933,34.37,984.0,36.60,45,2,54.5,111,1,1,1,1,0,1,1,0,57615,-51.0,13.0
16:21:08.987 -> 0.0000000,0.0000000,-17.000,245.65,0.00,0.00,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01184,-0.03528,0.00000,0.99933,34.59,984.1,35.40,46,2,54.5,111,1,1,1,1,0,1,1,0,51657,-50.0,13.0
16:21:41.004 -> 0.0000000,0.0000000,-17.000,245.62,0.00,0.00,-0.03,-0.1,0.1,0.0,0.0,0.0,0.0,0.01184,-0.03558,0.00006,0.99927,35.42,984.1,34.45,47,2,54.5,111,1,1,1,1,0,1,1,0,3445,-51.0,13.0
16:21:53.011 -> 0.0000000,0.0000000,-17.000,252.54,0.00,0.02,0.02,-0.2,-0.2,-0.1,32.4,38.6,-33.3,0.00000,0.00000,0.00000,1.00000,30.95,983.3,29.69,0,7,56.0,103,1,1,1,0,0,1,1,0,26187,-76.0,11.0
16:22:13.006 -> 0.0000000,0.0000000,-17.000,245.42,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.01190,-0.03552,0.00000,0.99933,35.92,984.1,33.48,48,2,54.5,111,1,1,1,1,0,1,1,0,47161,-51.0,13.0
16:22:25.020 -> 0.0000000,0.0000000,-17.000,252.42,0.04,0.01,-0.01,0.0,0.0,0.0,31.0,37.3,-32.4,-0.02490,0.04114,0.31849,0.94671,30.60,983.3,29.59,1,7,56.0,111,1,1,1,1,0,1,1,0,46644,-77.0,13.0
16:22:44.984 -> 0.0000000,0.0000000,-17.000,245.39,0.00,0.00,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01172,-0.03589,0.00000,0.99927,35.50,984.1,32.80,49,2,54.5,111,1,1,1,1,0,1,1,0,62065,-51.0,13.0
16:22:59.787 -> 0.0000000,0.0000000,-17.000,252.35,-0.02,0.01,0.01,0.0,0.0,0.0,31.3,37.9,-33.9,-0.02490,0.04114,0.31849,0.94671,30.40,983.3,30.01,2,7,56.0,111,1,1,1,1,0,1,1,0,56554,-76.0,10.0
