21:14:42.321 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
21:25:14.923 -> 0.0000000,0.0000000,-17.000,261.67,0.00,0.00,0.00,0.0,0.0,0.0,-3.3,-41.4,-91.4,0.00745,0.00647,-0.99896,0.04437,26.72,982.2,38.64,58,6,59.0,111,1,1,1,1,0,1,1,0,25176,-52.0,13.8
21:25:24.938 -> 0.0000000,0.0000000,-17.000,261.70,0.00,0.00,0.00,0.0,0.0,0.0,-4.8,-42.2,-91.1,0.00769,0.00641,-0.99854,0.05298,26.74,982.2,38.56,59,6,59.0,111,1,1,1,1,0,1,1,0,57000,-52.0,13.3
21:25:37.954 -> 0.0000000,0.0000000,-17.000,261.54,-0.01,0.00,0.00,0.0,0.0,0.0,-4.8,-42.6,-91.4,0.00775,0.00604,-0.99927,0.03742,26.75,982.2,38.55,60,6,59.0,111,1,1,1,1,0,1,1,0,17539,-53.0,12.8
21:25:47.972 -> 0.0000000,0.0000000,-17.000,261.60,0.00,0.00,0.00,0.0,0.0,0.0,-4.4,-42.2,-91.4,0.00732,0.00604,-0.99927,0.03742,26.72,982.2,38.53,61,6,59.0,111,1,1,1,1,0,1,1,0,26036,-52.0,13.0
21:26:00.988 -> 0.0000000,0.0000000,-17.000,261.79,0.04,0.01,0.00,0.0,0.0,0.0,-3.3,-42.6,-92.3,0.00751,0.00659,-0.99933,0.03589,26.69,982.2,38.57,62,6,59.0,111,1,1,1,1,0,1,1,0,42293,-52.0,13.3
21:26:11.004 -> 0.0000000,0.0000000,-17.000,261.74,0.04,0.00,0.00,-0.1,-0.1,0.0,-5.1,-42.2,-91.4,0.00751,0.00665,-0.99933,0.03589,26.74,982.2,38.54,63,6,59.0,111,1,1,1,1,0,1,1,0,64518,-53.0,13.0
21:26:21.024 -> 0.0000000,0.0000000,-17.000,261.59,0.00,0.00,0.00,0.0,-0.1,0.1,-4.0,-41.1,-91.4,0.00769,0.00647,-0.99854,0.05322,26.73,982.2,38.54,64,6,59.0,111,1,1,1,1,0,1,1,0,45403,-52.0,13.3
21:26:31.045 -> 0.0000000,0.0000000,-17.000,261.74,0.03,0.00,0.00,-0.1,0.0,0.1,-3.6,-42.9,-91.4,0.00769,0.00635,-0.99854,0.05322,26.75,982.2,38.49,65,6,59.0,111,1,1,1,1,0,1,1,0,22844,-52.0,13.0
21:26:44.059 -> 0.0000000,0.0000000,-17.000,261.72,0.00,0.00,0.00,0.0,0.0,0.0,-3.3,-42.9,-92.3,0.00763,0.00653,-0.99878,0.04846,26.74,982.2,38.46,66,6,59.0,111,1,1,1,1,0,1,1,0,6842,-52.0,13.5
21:26:54.072 -> 0.0000000,0.0000000,-17.000,261.71,0.00,0.00,0.00,0.0,-0.1,0.0,-4.0,-41.8,-92.3,0.00739,0.00641,-0.99878,0.04846,26.68,982.2,38.55,67,6,59.0,111,1,1,1,1,0,1,1,0,36451,-52.0,13.0
21:27:04.089 -> 0.0000000,0.0000000,-17.000,261.80,0.01,0.04,0.00,0.0,0.0,0.0,-4.0,-41.8,-90.3,0.00787,0.00635,-0.99884,0.04743,26.70,982.2,38.54,68,6,58.5,111,1,1,1,1,0,1,1,0,41243,-53.0,13.0
21:27:14.108 -> 0.0000000,0.0000000,-17.000,261.65,-0.01,0.00,0.00,-0.2,-0.1,0.0,-4.8,-42.6,-91.0,0.00610,0.00604,-0.99823,0.05896,26.70,982.2,38.57,69,6,58.5,111,1,1,1,1,0,1,1,0,23040,-52.0,13.0
21:27:27.125 -> 0.0000000,0.0000000,-17.000,261.40,0.00,0.00,-0.01,0.0,0.0,0.0,-5.1,-42.2,-91.1,0.00610,0.00604,-0.99823,0.05896,26.74,982.2,38.55,70,6,58.5,111,1,1,1,1,0,1,1,0,17368,-52.0,13.3
21:27:37.140 -> 0.0000000,0.0000000,-17.000,261.55,0.00,-0.01,0.00,0.0,0.0,0.0,-4.8,-42.9,-93.0,0.00769,0.00659,-0.99774,0.06616,26.70,982.2,38.53,71,6,58.5,111,1,1,1,1,0,1,1,0,24787,-52.0,13.3
21:27:46.158 -> 0.0000000,0.0000000,-17.000,261.52,0.00,0.00,0.00,0.0,0.0,0.0,-3.6,-41.8,-90.6,0.00763,0.00659,-0.99762,0.06775,26.69,982.2,38.54,72,6,58.5,111,1,1,1,1,0,1,1,0,21416,-53.0,13.3
21:27:56.174 -> 0.0000000,0.0000000,-17.000,261.48,0.01,0.00,0.00,0.0,0.0,0.0,-4.4,-41.4,-91.4,0.00763,0.00659,-0.99762,0.06775,26.67,982.2,38.58,73,6,58.5,111,1,1,1,1,0,1,1,0,19908,-52.0,12.8
