Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
18:44:19.988 -> 0.0000000,0.0000000,-17.000,263.45,0.00,0.00,0.00,0.0,0.0,0.0,26.9,-83.4,32.0,0.15271,0.57292,0.78063,0.19764,26.66,982.0,32.39,34,2,75.5,111,1,1,1,1,0,1,1,0,7494,-61.0,10.5
18:44:30.001 -> 0.0000000,0.0000000,-17.000,263.45,0.00,0.00,0.00,0.0,0.0,0.0,26.6,-83.1,32.0,0.15271,0.57292,0.78063,0.19758,26.63,982.0,32.42,35,2,75.0,111,1,1,1,1,0,1,1,0,41091,-62.0,13.0
18:44:41.011 -> 0.0000000,0.0000000,-17.000,263.40,0.00,0.00,0.00,0.0,0.0,0.0,28.8,-82.7,32.0,0.15271,0.57292,0.78063,0.19758,26.63,982.0,32.47,36,2,75.0,111,1,1,1,1,0,1,1,0,26488,-62.0,13.3
18:44:51.022 -> 0.0000000,0.0000000,-17.000,263.39,0.00,0.00,0.00,0.0,0.0,0.0,28.4,-80.4,30.8,0.15918,0.57115,0.77825,0.20673,26.63,982.0,32.47,37,2,75.0,111,1,1,1,1,0,1,1,0,56235,-61.0,13.5
18:45:01.039 -> 0.0000000,0.0000000,-17.000,263.51,0.00,0.00,0.00,0.0,0.0,0.1,26.6,-82.7,30.0,0.15003,0.57384,0.78149,0.19361,26.60,982.0,32.49,38,2,75.0,111,1,1,1,1,0,1,1,0,5505,-61.0,12.3
18:45:11.052 -> 0.0000000,0.0000000,-17.000,263.36,0.00,0.00,0.00,0.0,0.0,0.0,26.6,-83.4,30.0,0.15143,0.57323,0.78106,0.19611,26.59,982.0,32.54,39,2,75.0,111,1,1,1,1,0,1,1,0,32804,-60.0,10.3
18:45:21.067 -> 0.0000000,0.0000000,-17.000,263.20,0.00,0.00,0.00,0.0,0.0,0.0,26.9,-82.3,30.8,0.15418,0.57274,0.78002,0.19953,26.60,982.0,32.53,40,2,75.0,111,1,1,1,1,0,1,1,0,41066,-61.0,9.5
18:45:31.074 -> 0.0000000,0.0000000,-17.000,263.23,0.00,0.00,-0.04,0.0,0.0,0.0,25.8,-82.7,29.2,0.15418,0.57262,0.78008,0.19953,26.58,982.0,32.58,41,2,75.0,111,1,1,1,1,0,1,1,0,63694,-60.0,10.0
18:45:41.085 -> 0.0000000,0.0000000,-17.000,263.17,0.00,0.00,0.00,0.0,0.0,0.0,26.2,-81.9,28.4,0.15210,0.57311,0.78082,0.19660,26.59,982.0,32.57,42,2,75.0,111,1,1,1,1,0,1,1,0,23729,-61.0,12.8
18:45:57.789 -> 0.0000000,0.0000000,-17.000,263.59,0.00,0.00,0.01,-0.1,0.1,0.1,29.5,-81.6,31.2,0.24677,0.53929,0.73632,0.32569,26.58,982.0,32.64,0,2,71.0,111,1,1,1,1,0,1,1,0,38542,-61.0,10.0
18:46:07.800 -> 0.0000000,0.0000000,-17.000,263.37,0.00,0.00,0.00,0.0,0.0,0.0,27.7,-81.9,30.0,0.13953,0.57640,0.78484,0.17957,26.59,982.0,32.60,1,2,71.0,111,1,1,1,1,0,1,1,0,36108,-61.0,12.5
18:46:17.815 -> 0.0000000,0.0000000,-17.000,263.41,0.00,0.00,-0.03,0.0,0.0,0.0,26.6,-81.2,30.0,0.13953,0.57634,0.78491,0.17963,26.59,982.0,32.62,2,2,71.0,111,1,1,1,1,0,1,1,0,3534,-61.0,11.0
18:46:28.822 -> 0.0000000,0.0000000,-17.000,263.22,0.00,0.00,0.01,-0.1,0.1,0.0,28.8,-81.9,30.4,0.15864,0.57152,0.77844,0.20533,26.61,982.0,32.59,3,2,71.0,111,1,1,1,1,0,1,1,0,64730,-61.0,13.0
18:46:38.833 -> 0.0000000,0.0000000,-17.000,263.56,0.00,0.00,0.01,0.0,0.0,0.0,28.1,-82.7,29.6,0.15436,0.57274,0.77984,0.19971,26.59,982.0,32.59,4,2,71.0,111,1,1,1,1,0,1,1,0,33087,-57.0,13.3
18:46:47.848 -> 0.0000000,0.0000000,-17.000,263.58,0.00,0.00,0.00,-0.2,0.0,0.0,26.6,-81.6,30.8,0.15107,0.57341,0.78118,0.19520,26.57,982.0,32.65,5,2,71.0,111,1,1,1,1,0,1,1,0,22306,-56.0,13.5
18:47:00.867 -> 0.0000000,0.0000000,-17.000,263.42,0.00,0.00,0.01,0.0,0.0,0.0,26.2,-82.7,31.2,0.15107,0.57341,0.78118,0.19520,26.56,982.0,32.69,6,2,71.0,111,1,1,1,1,0,1,1,0,11879,-57.0,13.5
18:47:09.876 -> 0.0000000,0.0000000,-17.000,263.25,0.00,0.00,0.00,0.0,0.0,0.0,26.2,-84.6,31.6,0.14423,0.57537,0.78332,0.18586,26.55,982.0,32.70,7,2,71.0,111,1,1,1,1,0,1,1,0,22846,-58.0,13.0
18:47:19.889 -> 0.0000000,0.0000000,-17.000,263.15,0.00,0.00,0.01,0.0,0.0,0.0,26.2,-81.6,30.4,0.14368,0.57549,0.78350,0.18519,26.55,982.0,32.74,8,2,71.0,111,1,1,1,1,0,1,1,0,64777,-60.0,9.8
18:47:29.901 -> 0.0000000,0.0000000,-17.000,263.08,0.00,0.00,0.00,0.0,0.0,0.0,26.2,-82.3,29.6,0.14917,0.57378,0.78191,0.19257,26.55,982.0,32.74,9,2,71.0,111,1,1,1,1,0,1,1,0,42084,-63.0,13.0
18:47:39.912 -> 0.0000000,0.0000000,-17.000,263.20,0.00,0.00,0.01,0.0,0.0,0.0,27.7,-82.7,32.0,0.14905,0.57421,0.78161,0.19257,26.52,982.0,32.81,10,2,71.0,111,1,1,1,1,0,1,1,0,11553,-61.0,13.0
18:47:50.926 -> 0.0000000,0.0000000,-17.000,263.20,0.00,0.00,0.00,0.0,0.0,0.0,28.4,-83.4,30.0,0.14911,0.57421,0.78167,0.19251,26.53,982.0,32.79,11,2,71.0,111,1,1,1,1,0,1,1,0,63382,-61.0,13.8
18:48:00.944 -> 0.0000000,0.0000000,-17.000,262.66,0.00,0.00,0.01,0.0,0.0,0.0,26.2,-82.3,30.4,0.15766,0.57158,0.77886,0.20447,26.54,982.1,32.77,12,2,71.0,111,1,1,1,1,0,1,1,0,9080,-63.0,13.0
